field_case,benchmark_class,pathway,conditional_cov_M_T,conditional_cov_M_S,conditional_cov_response_time,median_M_T,median_M_S,applicability_basis,claim_boundary
Massachusetts,heterogeneous leakage boundary,Theis confined,0.31680333085392465,0.3013075778904052,0.17155443508949425,2.097787950938625,1.2178743231352902,fractured bedrock response with spatial variability and leakage/boundary alternatives; use as conservative conditional prior,conditional benchmark-derived transformation prior; not a universal design COV
Massachusetts,heterogeneous leakage boundary,Hantush-Jacob leaky,0.23414843737234214,0.24325322138168562,0.17060926873688737,1.883704182623318,1.1638572552872437,fractured bedrock response with spatial variability and leakage/boundary alternatives; use as conservative conditional prior,conditional benchmark-derived transformation prior; not a universal design COV
Massachusetts,heterogeneous leakage boundary,Lagging Darcy no-leakage,0.8210969071710507,0.4784585192831508,1.5428255145836354,1.969074728880282,1.0960876665228543,fractured bedrock response with spatial variability and leakage/boundary alternatives; use as conservative conditional prior,conditional benchmark-derived transformation prior; not a universal design COV
Massachusetts,heterogeneous leakage boundary,Lagging Darcy with leakage,0.2134557505356129,0.218679610588702,0.15367336415509028,1.4941400034357613,1.1735302502895022,fractured bedrock response with spatial variability and leakage/boundary alternatives; use as conservative conditional prior,conditional benchmark-derived transformation prior; not a universal design COV
Massachusetts,heterogeneous K,Theis confined,0.18505448470147234,0.17832175103622888,0.20181817174069536,1.1935380662838817,1.1304345102011046,field-only lower-complexity reference when leakage support is weak in a specific well,conditional benchmark-derived transformation prior; not a universal design COV
Massachusetts,heterogeneous K,Hantush-Jacob leaky,0.1898167917153344,0.1813503911225631,0.20052617988194593,1.1829584991153757,1.1304304094126048,field-only lower-complexity reference when leakage support is weak in a specific well,conditional benchmark-derived transformation prior; not a universal design COV
Massachusetts,heterogeneous K,Lagging Darcy no-leakage,0.15715448573046098,0.15580725226435038,0.1650735637899808,1.0012556511407866,1.1358644622803387,field-only lower-complexity reference when leakage support is weak in a specific well,conditional benchmark-derived transformation prior; not a universal design COV
Massachusetts,heterogeneous K,Lagging Darcy with leakage,0.2010797147605201,0.15976942552457293,0.18611821250244132,1.0012572193409492,1.1044056957920125,field-only lower-complexity reference when leakage support is weak in a specific well,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,vertical leakage,Theis confined,0.6858416016493094,0.5117598448081332,0.14833859446710143,2.359244150285694,1.6712145507345886,basin-fill pumping/recovery response with vertical exchange interpretation; use as conditional prior if leakage diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,vertical leakage,Hantush-Jacob leaky,0.2546668065596032,0.23696545464569718,0.03839189989066792,1.806986884610831,1.3712468129129416,basin-fill pumping/recovery response with vertical exchange interpretation; use as conditional prior if leakage diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,vertical leakage,Lagging Darcy no-leakage,1.65940691768692,0.5211098240027252,2.382560602438592,2.345916196848948,1.1397241532019817,basin-fill pumping/recovery response with vertical exchange interpretation; use as conditional prior if leakage diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,vertical leakage,Lagging Darcy with leakage,0.20619556194158944,0.14990772914317618,0.05532512245835129,1.2744801651262667,1.1581124738359507,basin-fill pumping/recovery response with vertical exchange interpretation; use as conditional prior if leakage diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,constant head boundary,Theis confined,0.11455134391865449,0.10698793669732405,0.03715130200612299,1.2816585998933874,1.0679170156255149,basin-fill late-time flattening or boundary-support alternative; use as conditional prior if boundary diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,constant head boundary,Hantush-Jacob leaky,0.12163565597090058,0.11165044632266918,0.032547664486003915,1.2816510194955484,1.067913330469198,basin-fill late-time flattening or boundary-support alternative; use as conditional prior if boundary diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,constant head boundary,Lagging Darcy no-leakage,0.1450212204627006,0.08065022065799962,0.0648020372201766,1.0819976557962956,1.038826904328205,basin-fill late-time flattening or boundary-support alternative; use as conditional prior if boundary diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
Lovelock Valley,constant head boundary,Lagging Darcy with leakage,0.05976328686487405,0.033459275802979145,0.02681118651292511,1.0704754191278358,1.0388269162303239,basin-fill late-time flattening or boundary-support alternative; use as conditional prior if boundary diagnostics dominate,conditional benchmark-derived transformation prior; not a universal design COV
