field_case,benchmark_class,applicability_level,matching_basis,mismatch_flags,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction,min_pooled_sd_eta_pathway,bic_preferred_summary,lagging_support,leakage_boundary_hits,pooled_sd_eta_theis,pooled_sd_eta_best,decision_capacity_p95,decision_response_p95,allowable_use,claim_boundary
Massachusetts,combined leakage boundary,primary_conservative,fractured bedrock field response has spatial variability plus leakage or boundary alternatives; use only as conservative conditional transformation prior,"field fracture network, pumping history simplification, and true support scale remain unverified",Lagging Darcy no-leakage,2100,0.3168291926344571,1.3834383108708062,2.404056539436416,1.3057609873821368,0.3901095534642634,0.9171425300760856,1.1484917527710947,1.4948462236283355,0.3168291926344571,1.3834383108708062,2.404056539436416,1.3057609873821368,0.0732803608298062,1.2129541353219575,1.8315864066844083,1.097702264192448,0.5680842971365965,0.4341132087182949,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,combined leakage boundary,primary_conservative,fractured bedrock field response has spatial variability plus leakage or boundary alternatives; use only as conservative conditional transformation prior,"field fracture network, pumping history simplification, and true support scale remain unverified",Lagging Darcy with leakage,2965,-0.579621496255022,2.150115770262619,10.039858069105422,0.969987658508116,-0.4490418637483763,1.6548659469957443,3.803291906715165,1.0448641349870396,-0.579621496255022,2.150115770262619,10.039858069105422,0.969987658508116,0.1305796325066457,1.7090258588434386,4.18993536460634,1.204530108764053,0.3764572393737177,0.2521304952433401,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,combined leakage boundary,primary_conservative,fractured bedrock field response has spatial variability plus leakage or boundary alternatives; use only as conservative conditional transformation prior,"field fracture network, pumping history simplification, and true support scale remain unverified",Theis confined,1968,0.913413129753344,1.0138185551038756,1.3397718825333282,1.992210413240079,0.5665192315356635,0.739000043455946,0.8523748373087415,1.5572747394863102,0.913413129753344,1.0138185551038756,1.3397718825333282,1.992210413240079,-0.3468938982176806,0.7586221441522464,0.8820616486176582,0.7216915884122141,0.6881318930263051,0.5228590041200425,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,combined leakage boundary,primary_conservative,fractured bedrock field response has spatial variability plus leakage or boundary alternatives; use only as conservative conditional transformation prior,"field fracture network, pumping history simplification, and true support scale remain unverified",Hantush-Jacob leaky,1090,0.3453105065102774,1.4300707094377134,2.594214478610572,1.357669234373932,-0.0526165572853523,1.470118634241809,2.771637228862521,1.2019789799703828,0.3453105065102774,1.4300707094377134,2.594214478610572,1.357669234373932,-0.3979270637956297,1.7631024459125924,4.624728633636385,0.9171902402844506,0.6036066284489182,0.4197105920812041,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous leakage,primary_sensitivity,field diagnostics support temporal response and possible leakage without requiring first-type boundary as the main mechanism,boundary equivalent behavior may still be present; field support scale remains unverified,Theis confined,1930,0.9524345469858762,1.0200255228739556,1.3529583511803327,2.08599208916549,0.5357533846213336,0.6991609631829563,0.79397801648451,1.440548763976902,0.9524345469858762,1.0200255228739556,1.3529583511803327,2.08599208916549,-0.4166811623645425,0.739460592090234,0.8530644007732616,0.7015598694430583,0.6902203347646636,0.5230664887303983,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous leakage,primary_sensitivity,field diagnostics support temporal response and possible leakage without requiring first-type boundary as the main mechanism,boundary equivalent behavior may still be present; field support scale remains unverified,Hantush-Jacob leaky,1137,0.2988541734787187,1.5264511169648207,3.04606080154159,1.3179308233683056,-0.2981174718648487,1.6914964523875031,4.05977812246612,1.1168931368538988,0.2988541734787187,1.5264511169648207,3.04606080154159,1.3179308233683056,-0.5969716453435676,2.095759105797113,8.934121482005214,0.8620678518395323,0.6059535195713279,0.4447941130031364,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous leakage,primary_sensitivity,field diagnostics support temporal response and possible leakage without requiring first-type boundary as the main mechanism,boundary equivalent behavior may still be present; field support scale remains unverified,Lagging Darcy no-leakage,2151,0.3661307893774986,1.395061607848131,2.449899482071392,1.3949984952482763,0.3499558051764128,0.8442478612041735,1.019608508811129,1.352759585455501,0.3661307893774986,1.395061607848131,2.449899482071392,1.3949984952482763,-0.0161749842010858,1.1259593491971545,1.5978022624832644,0.9981419711111884,0.5465700585596507,0.4239002434062407,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous leakage,primary_sensitivity,field diagnostics support temporal response and possible leakage without requiring first-type boundary as the main mechanism,boundary equivalent behavior may still be present; field support scale remains unverified,Lagging Darcy with leakage,3082,-0.6551923440820618,2.137274911897764,9.764518611765984,0.966900930344757,-0.601398105196658,1.7242194617120803,4.306874559633571,1.07123941956328,-0.6551923440820618,2.137274911897764,9.764518611765984,0.966900930344757,0.0537942388854037,1.7591174004864318,4.59086765823048,1.1620865790813693,0.3892083024588852,0.2535542310643267,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous boundary,primary_sensitivity,field diagnostics include late-time boundary-equivalent behavior in selected wells,leakage and fracture-matrix exchange are not represented in this class,Theis confined,2272,0.2607808028838523,0.7163796899341265,0.818919061034369,1.2085048412796633,0.0686291195016482,0.4135794975992621,0.4319116841839872,1.048469001061587,0.2607808028838523,0.7163796899341265,0.818919061034369,1.2085048412796633,-0.192151683382204,0.611354736679415,0.6731868363505287,0.8567325940938159,0.6807395137700492,0.5276008910550729,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous boundary,primary_sensitivity,field diagnostics include late-time boundary-equivalent behavior in selected wells,leakage and fracture-matrix exchange are not represented in this class,Hantush-Jacob leaky,515,-0.6707121718989048,1.4096468431451057,2.508860348076208,0.7005433989559965,-0.6731227313576774,1.406440358415194,2.495758475820681,0.8511334319848998,-0.6707121718989048,1.4096468431451057,2.508860348076208,0.7005433989559965,-0.0024105594587726,1.705393209671031,4.162550665549107,1.2601549709923123,0.7812817755156984,0.6312915312985836,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous boundary,primary_sensitivity,field diagnostics include late-time boundary-equivalent behavior in selected wells,leakage and fracture-matrix exchange are not represented in this class,Lagging Darcy no-leakage,3227,-0.2985925218093918,1.077454416412385,1.4808210941944089,0.9506206684836468,0.0130501858032413,0.5498523945601567,0.5941531822432058,1.0919952458385989,-0.2985925218093918,1.077454416412385,1.4808210941944089,0.9506206684836468,0.3116427076126331,0.7635985164330048,0.8896924953769674,1.1851686881537686,0.4204509766532978,0.3083705305562088,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous boundary,primary_sensitivity,field diagnostics include late-time boundary-equivalent behavior in selected wells,leakage and fracture-matrix exchange are not represented in this class,Lagging Darcy with leakage,3005,-0.7400004256663726,1.75508485373722,4.556909928442378,0.9097485669360426,-0.3590431157498548,1.1287619625785987,1.604834815705933,1.0364207376206998,-0.7400004256663726,1.75508485373722,4.556909928442378,0.9097485669360426,0.3809573099165176,1.069481209803995,1.4624094791554951,1.2307445751635688,0.3721272711725845,0.2570667910580591,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous K,lower_complexity_check,spatially variable response without accepting leakage as a required class,not conservative when leakage or boundary alternatives are supported,Theis confined,2246,0.2440722814734064,0.7407957399801786,0.8550654037734245,1.2066849430218365,0.0624817648362044,0.4474057426568422,0.4707576165980021,1.0541303055543572,0.2440722814734064,0.7407957399801786,0.8550654037734245,1.2066849430218365,-0.1815905166372019,0.6083876205863564,0.6692763192292126,0.8639894610566006,0.6940186688155568,0.5308248553890247,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,sensitivity or exclusion gate; do not use as default transformation prior,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous K,lower_complexity_check,spatially variable response without accepting leakage as a required class,not conservative when leakage or boundary alternatives are supported,Lagging Darcy no-leakage,3304,-0.2978033276166257,1.085494162842824,1.4996128155443007,0.946364600878385,0.023086722192356,0.5708869739439542,0.6207200419167815,1.0974958502635603,-0.2978033276166257,1.085494162842824,1.4996128155443007,0.946364600878385,0.3208900498089818,0.7655132730877646,0.8926398315368955,1.1993602420172729,0.4191560514178601,0.3094090105238098,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,sensitivity or exclusion gate; do not use as default transformation prior,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous K,lower_complexity_check,spatially variable response without accepting leakage as a required class,not conservative when leakage or boundary alternatives are supported,Lagging Darcy with leakage,2999,-0.7069748264640104,1.6915099021287725,4.059876088425782,0.9084424942806898,-0.323639538267674,1.1007773732935475,1.5359774706318032,1.045385652658899,-0.7069748264640104,1.6915099021287725,4.059876088425782,0.9084424942806898,0.3833352881963364,1.0349416833260596,1.3851356238571233,1.2318648520635471,0.3763075114047483,0.2583642668875837,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,sensitivity or exclusion gate; do not use as default transformation prior,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Massachusetts,heterogeneous K,lower_complexity_check,spatially variable response without accepting leakage as a required class,not conservative when leakage or boundary alternatives are supported,Hantush-Jacob leaky,460,-0.697009304558339,1.286471771033377,2.0574572297944984,0.6639795097087269,-0.5724926720352975,1.25087507233217,1.944526962853486,0.8810822680818013,-0.697009304558339,1.286471771033377,2.0574572297944984,0.6639795097087269,0.1245166325230414,1.2962116136725914,2.089602577562246,1.2845415146398478,0.7950727722325628,0.6399919864458372,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:2 / Lagging Darcy no-leakage:3 / Lagging Darcy with leakage:5,8.0,16.0,0.1661680413668476,0.0352287570858935,2.7253754975089106,3.319025202404622,sensitivity or exclusion gate; do not use as default transformation prior,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Lovelock Valley,heterogeneous storage,primary_conservative,basin-fill pumping/recovery response with no strong leakage-pathway preference and possible storage variability,"layering, recovery preprocessing, and regional boundary conditions remain unverified",Lagging Darcy with leakage,3044,-0.6540985327698007,1.6677091814561604,3.8909183350371648,0.9331353330691112,-0.3336024900558431,1.1355285024235475,1.6219427334626029,0.996832099540381,-0.6540985327698007,1.6677091814561604,3.8909183350371648,0.9331353330691112,0.3204960427139576,1.1717986783351717,1.716862587798225,1.2364022197929578,0.3695329910679515,0.2460488595973559,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:0 / Lagging Darcy no-leakage:5 / Lagging Darcy with leakage:0,5.0,0.0,0.2462477128749394,0.1739186725149379,4.515427425117614,8.788292889529512,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Lovelock Valley,heterogeneous storage,primary_conservative,basin-fill pumping/recovery response with no strong leakage-pathway preference and possible storage variability,"layering, recovery preprocessing, and regional boundary conditions remain unverified",Theis confined,2252,0.3051464944541066,0.746158139863002,0.8631312110491548,1.2709842141356176,0.0922618141215153,0.5085425899177265,0.5432640376093892,1.087492597225058,0.3051464944541066,0.746158139863002,0.8631312110491548,1.2709842141356176,-0.2128846803325912,0.6657547207027518,0.7468129322322279,0.8462001994485933,0.6915522610770809,0.5304260379099752,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:0 / Lagging Darcy no-leakage:5 / Lagging Darcy with leakage:0,5.0,0.0,0.2462477128749394,0.1739186725149379,4.515427425117614,8.788292889529512,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Lovelock Valley,heterogeneous storage,primary_conservative,basin-fill pumping/recovery response with no strong leakage-pathway preference and possible storage variability,"layering, recovery preprocessing, and regional boundary conditions remain unverified",Lagging Darcy no-leakage,3257,-0.2714978177354548,1.087138711728492,1.5034851055511518,0.9678502606321956,0.0341298038609996,0.6217641860135709,0.686989011309369,1.103877560138183,-0.2714978177354548,1.087138711728492,1.5034851055511518,0.9678502606321956,0.3056276215964544,0.8474161152283549,1.0249694383119796,1.2238876398308225,0.410332027592448,0.3062452198470122,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:0 / Lagging Darcy no-leakage:5 / Lagging Darcy with leakage:0,5.0,0.0,0.2462477128749394,0.1739186725149379,4.515427425117614,8.788292889529512,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Lovelock Valley,heterogeneous storage,primary_conservative,basin-fill pumping/recovery response with no strong leakage-pathway preference and possible storage variability,"layering, recovery preprocessing, and regional boundary conditions remain unverified",Hantush-Jacob leaky,464,-0.7297986162432619,1.4529744862715797,2.69399465082928,0.6984945854885305,-0.6358329468455891,1.2882910103234575,2.063419566558099,0.7889290864717472,-0.7297986162432619,1.4529744862715797,2.69399465082928,0.6984945854885305,0.0939656693976728,1.3695655432372211,2.350627382667174,1.2159453567282037,0.796818391676187,0.6256759808761425,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:0 / Lagging Darcy no-leakage:5 / Lagging Darcy with leakage:0,5.0,0.0,0.2462477128749394,0.1739186725149379,4.515427425117614,8.788292889529512,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Lovelock Valley,heterogeneous K,primary_sensitivity,BIC support concentrates in no-leakage interpretations; heterogeneous K is the lower-complexity numerical analogue,does not represent basin-fill storage variability or recovery-specific preprocessing,Theis confined,2246,0.2440722814734064,0.7407957399801786,0.8550654037734245,1.2066849430218365,0.0624817648362044,0.4474057426568422,0.4707576165980021,1.0541303055543572,0.2440722814734064,0.7407957399801786,0.8550654037734245,1.2066849430218365,-0.1815905166372019,0.6083876205863564,0.6692763192292126,0.8639894610566006,0.6940186688155568,0.5308248553890247,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:0 / Lagging Darcy no-leakage:5 / Lagging Darcy with leakage:0,5.0,0.0,0.2462477128749394,0.1739186725149379,4.515427425117614,8.788292889529512,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
Lovelock Valley,heterogeneous K,primary_sensitivity,BIC support concentrates in no-leakage interpretations; heterogeneous K is the lower-complexity numerical analogue,does not represent basin-fill storage variability or recovery-specific preprocessing,Lagging Darcy no-leakage,3304,-0.2978033276166257,1.085494162842824,1.4996128155443007,0.946364600878385,0.023086722192356,0.5708869739439542,0.6207200419167815,1.0974958502635603,-0.2978033276166257,1.085494162842824,1.4996128155443007,0.946364600878385,0.3208900498089818,0.7655132730877646,0.8926398315368955,1.1993602420172729,0.4191560514178601,0.3094090105238098,0.0,Lagging Darcy with leakage,Theis confined:2 / Hantush-Jacob leaky:0 / Lagging Darcy no-leakage:5 / Lagging Darcy with leakage:0,5.0,0.0,0.2462477128749394,0.1739186725149379,4.515427425117614,8.788292889529512,conditional field prior if well-level diagnostics match the class,scenario-conditioned transformation factor; not a universal design COV and not proof of true field T/S recovery
